conceptCode,conceptName
CLS80003,单抗
CLS80005,中药
CLS80006,教育产业
CLS80007,猪肉产业
CLS80008,体外诊断
CLS80009,家禽
CLS80010,基因测序
CLS80012,水产
CLS80014,白酒
CLS80019,啤酒
CLS80025,PCB
CLS80030,天然气
CLS80032,食品饮料
CLS80035,电子车牌
CLS80036,电子发票
CLS80037,调味品
CLS80039,休闲食品
CLS80041,乳业奶粉
CLS80043,免疫治疗
CLS80044,创新药
CLS80045,饲料
CLS80048,快递物流
CLS80051,家电
CLS80052,西部开发
CLS80053,核电
CLS80054,医药生物
CLS80055,工程机械
CLS80056,煤炭
CLS80057,甲醇
CLS80058,旅游酒店
CLS80059,PTA
CLS80060,海工装备
CLS80061,维生素
CLS80062,糖
CLS80063,PVC
CLS80064,疫苗
CLS80065,钛白粉
CLS80066,血制品
CLS80068,染料涂料
CLS80069,工业互联网
CLS80072,WIFI
CLS80073,量子科技
CLS80074,锰硅
CLS80075,苹果产业链
CLS80076,区块链
CLS80078,保险概念
CLS80081,油气设服
CLS80084,玻璃
CLS80085,水泥
CLS80086,雄安新区
CLS80087,东盟自贸区
CLS80088,期货概念
CLS80090,汽车后市场
CLS80092,氢能
CLS80093,盐湖提锂
CLS80094,特斯拉概念
CLS80095,小米概念
CLS80096,宁德时代概念
CLS80097,Facebook概念
CLS80098,谷歌概念
CLS80099,阿里巴巴概念
CLS80100,百度概念
CLS80101,动物保健
CLS80103,冷链
CLS80104,无线充电
CLS80105,人脸识别
CLS80106,知识产权
CLS80107,超导
CLS80108,征信
CLS80110,智慧城市
CLS80111,云计算
CLS80112,北斗导航
CLS80113,粤港澳大湾区
CLS80115,有色·铜
CLS80116,有色·锌
CLS80117,有色·铝
CLS80118,航母
CLS80119,有色·钨
CLS80120,有色·钼
CLS80121,有色·锑
CLS80122,有色·钒
CLS80123,有色·锆
CLS80124,有色·钴
CLS80125,有色·镍
CLS80126,有色·镁
CLS80127,有色·钛
CLS80128,水务
CLS80129,职业教育
CLS80130,稀土永磁
CLS80131,房地产概念
CLS80133,化工
CLS80134,AMC
CLS80135,高铁轨交
CLS80136,高速公路
CLS80138,港口
CLS80139,航运
CLS80140,光伏
CLS80141,重卡
CLS80142,高校
CLS80143,一带一路
CLS80144,上海国资
CLS80145,电力
CLS80146,风电
CLS80147,农业种植
CLS80148,新零售
CLS80149,电梯
CLS80150,化肥
CLS80151,农药
CLS80152,病菌防治
CLS80153,草甘膦
CLS80154,水利
CLS80156,赛马
CLS80157,沥青
CLS80158,橡胶
CLS80159,网红经济
CLS80160,造纸
CLS80161,通用航空
CLS80162,彩票
CLS80164,婴童
CLS80165,油气改革
CLS80170,新能源汽车
CLS80171,房屋租赁
CLS80172,乡村振兴
CLS80175,上海自贸区
CLS80176,装配式建筑
CLS80177,地下管廊
CLS80179,油品升级
CLS80180,烧碱
CLS80181,创投
CLS80182,铁矿石
CLS80183,纺织服装
CLS80185,盖板玻璃
CLS80186,3D打印
CLS80187,3D感应
CLS80189,光通信
CLS80190,LED
CLS80191,OLED
CLS80193,振兴东北
CLS80194,VR/AR
CLS80195,半导体芯片
CLS80196,充电桩
CLS80197,储能
CLS80198,锂电池
CLS80199,大数据
CLS80200,国产软件
CLS80201,机器人概念
CLS80202,深圳国资
CLS80203,山东国资
CLS80204,电力改革
CLS80206,智能制造
CLS80207,人工智能
CLS80208,车联网
CLS80209,广东国资
CLS80211,江苏国资
CLS80212,河南国资
CLS80213,北京国资
CLS80214,重庆国资
CLS80215,安徽国资
CLS80216,新疆国资
CLS80217,湖南国资
CLS80218,国企改革
CLS80219,浙江国资
CLS80220,天津国资
CLS80221,山西国资
CLS80222,军工
CLS80223,央企改革
CLS80224,氟化工
CLS80225,有机硅
CLS80226,体育产业
CLS80227,煤化工
CLS80228,盐
CLS80229,手势识别
CLS80230,虹膜识别
CLS80231,指纹识别
CLS80232,智能交通
CLS80233,智能驾驶
CLS80234,农机
CLS80235,大飞机
CLS80236,土壤修复
CLS80237,石油化工
CLS80238,大气治理
CLS80239,医疗信息化
CLS80241,橡塑
CLS80245,电商
CLS80246,液态金属
CLS80248,电竞
CLS80250,回购
CLS80251,电子烟
CLS80252,养老金持股
CLS80253,游戏
CLS80258,RFID
CLS80259,传感器
CLS80260,工业物联网
CLS80261,物联网
CLS80262,动漫产业
CLS80263,石墨烯
CLS80264,一汽系
CLS80265,轮胎
CLS80266,汽车零部件
CLS80267,特高压
CLS80268,汽车
CLS80270,生态园林
CLS80271,养老
CLS80272,股权转让
CLS80274,网络安全
CLS80275,食品安全
CLS80278,民航
CLS80279,包装印刷
CLS80280,固废处理
CLS80284,尿素
CLS80286,石墨电极
CLS80287,中科院系
CLS80289,精准医疗
CLS80290,人脑工程
CLS80291,广电系
CLS80293,节能环保
CLS80294,家居装饰
CLS80295,PPP
CLS80301,土地流转
CLS80302,污水处理
CLS80306,基因编辑
CLS80309,举牌
CLS80311,芬太尼概念
CLS80312,数字营销
CLS80315,建材
CLS80316,石油
CLS80317,纯碱
CLS80318,边缘计算
CLS80319,移动支付
CLS80320,恒大概念
CLS80321,工程建设
CLS80322,超级电容
CLS80325,IPv6
CLS80326,供销社系
CLS80327,智能电网
CLS80328,折叠屏
CLS80329,粘胶短纤
CLS80330,触摸屏
CLS80331,屏下指纹
CLS80332,工业大麻
CLS80333,大金融
CLS80334,字节跳动
CLS80335,参股券商
CLS80336,京东概念
CLS80338,超高清视频
CLS80339,腾讯概念
CLS80340,长三角一体化
CLS80342,数字中国
CLS80343,数字孪生
CLS80344,电子签名
CLS80347,复星系
CLS80348,食药溯源
CLS80349,中船系
CLS80350,国美系
CLS80353,跨境电商
CLS80354,成渝板块
CLS80355,智能音箱
CLS80356,富士康系
CLS80357,磷化工
CLS80369,人造肉
CLS80370,安防
CLS80371,大基金系
CLS80372,数字乡村
CLS80373,ETC
CLS80374,蔚来汽车
CLS80375,华为海思
CLS80377,烟草
CLS80379,垃圾分类
CLS80381,超级计算机
CLS80382,业绩超预期
CLS80385,新材料
CLS80386,超硬材料
CLS80388,光刻胶
CLS80389,金融科技
CLS80390,健康中国
CLS80391,靶材
CLS80392,高端合金
CLS80394,智慧停车
CLS80395,眼科
CLS80396,炭黑
CLS80397,消费电子
CLS80400,华为鸿蒙
CLS80401,华为手机
CLS80402,华为汽车
CLS80403,华为云
CLS80405,华为产业链
CLS80406,日化用品
CLS80407,林业
CLS80408,医药商业
CLS80409,分拆上市
CLS80411,数字货币
CLS80412,存储器
CLS80413,民爆
CLS80414,VPN概念
CLS80415,玻尿酸
CLS80416,无线耳机
CLS80417,6G
CLS80418,光刻机
CLS80419,胎压监测
CLS80420,智能穿戴
CLS80421,检测检验
CLS80422,工程设计
CLS80423,工业母机
CLS80424,MLCC
CLS80425,应急产业
CLS80427,影视
CLS80428,云游戏
CLS80429,MLED
CLS80430,横琴新区
CLS80431,陶瓷产业
CLS80432,石英
CLS80433,转基因
CLS80434,无人机
CLS80435,异质结电池
CLS80437,远程办公
CLS80438,口罩
CLS80439,红外技术
CLS80440,医废处理
CLS80441,工业气体
CLS80442,氮化镓(GaN)
CLS80444,耐火材料
CLS80445,铜箔/覆铜板
CLS80446,5G·基站
CLS80447,5G·终端
CLS80448,5G·网络架构
CLS80452,5G产业链
CLS80453,数据中心
CLS80454,卫星互联网
CLS80455,半导体材料
CLS80456,半导体设备
CLS80457,芯片产业链
CLS80458,C2M
CLS80459,呼吸机
CLS80460,融合通信(RCS)
CLS80461,防水材料
CLS80462,旧改
CLS80463,农村电商
CLS80464,REITs
CLS80465,中芯国际概念
CLS80466,信创
CLS80467,人力资源服务
CLS80469,机器视觉
CLS80470,碳纤维
CLS80471,免税
CLS80472,尾气治理
CLS80473,地摊经济
CLS80474,单车
CLS80475,文创玩具
CLS80476,UWB超宽带
CLS80478,拼多多概念
CLS80479,激光产业
CLS80480,原料药
CLS80481,CRO/CMO
CLS80482,地理信息
CLS80483,长寿药NMN
CLS80486,蚂蚁集团概念
CLS80487,代糖/甜味剂
CLS80488,玻纤
CLS80490,新冠疫苗
CLS80491,导弹
CLS80492,可降解材料
CLS80493,汽车拆解
CLS80494,肝素
CLS80495,航空发动机
CLS80496,航天系
CLS80498,中航系
CLS80499,中兵系
CLS80500,中电科系
CLS80501,军工央企
CLS80502,面板
CLS80503,第三代半导体
CLS80504,医疗美容
CLS80505,硅片
CLS80506,医院
CLS80507,家用护理
CLS80508,换电
CLS80509,医用耗材
CLS80511,医用器械
CLS80513,消防
CLS80514,醋酸
CLS80515,碳中和
CLS80516,物业
CLS80517,化纤
CLS80520,快手概念
CLS80521,BIPV
CLS80522,水电
CLS80523,NFT文交所
CLS80524,棉花
CLS80526,辅助生殖
CLS80527,预制菜
CLS80529,钠电池
CLS80530,口腔医疗
CLS80532,阿尔兹海默
CLS80533,华为昇腾
CLS80534,电器机械
CLS80537,功率半导体
CLS80538,新冠检测
CLS80539,电信运营
CLS80540,参股新三板
CLS80541,氯碱工业
CLS80542,元宇宙
CLS80543,培育钻石
CLS80544,绿色电力
CLS80545,电池
CLS80547,冬奥会
CLS80548,新冠治疗
CLS80549,杭州亚运会
CLS80550,算力工程
CLS80551,跨境支付
CLS80553,电子身份证
CLS80554,新冠抗原检测
CLS80570,绿色建筑
CLS80571,智慧政务
CLS80572,肝炎治疗
CLS80573,商业零售
CLS80576,医疗器械
CLS80577,户外露营
CLS80579,生物质能
CLS80581,建筑装饰
CLS80582,新型城镇化
CLS80583,疫情监测
CLS80584,出海概念
CLS80585,云南国资
CLS80586,福建国资
CLS80588,猴痘概念
CLS80590,广西国资
CLS80592,比亚迪概念
CLS80595,汽车热管理
CLS80596,麒麟电池
CLS80597,汽车轻量化
CLS80598,钙钛矿电池
CLS80599,液流电池
CLS80600,一体化压铸
CLS80601,电池回收
CLS80602,减速器
CLS80603,EDA
CLS80604,吸波材料
CLS80605,先进封装
CLS80606,TOPCon电池
CLS80607,热泵
CLS80608,光热
CLS80609,瓷砖胶
CLS80611,虚拟电厂
CLS80612,宠物经济
CLS80613,环氧丙烷
CLS80614,eSIM
CLS80615,科学仪器
CLS80616,Web3.0
CLS80618,抖音小店
CLS80619,抗高血压
CLS80620,AIGC
CLS80621,国资云
CLS80622,复合集流体
CLS80623,中字头
CLS80624,抗病毒面料
CLS81083,AI应用
CLS81342,车路云
CLS81377,黄金概念
CLS81388,教育信息化
CLS81626,消毒剂
CLS81640,汽车芯片
CLS81679,智慧灯杆
CLS81732,证券IT
CLS81757,碳化硅
CLS81763,军工信息化
CLS81782,锂矿
CLS81813,碳交易
CLS81867,虚拟数字人
CLS81919,数据要素
CLS81920,DRG/DIP
CLS81925,抗流感
CLS81926,POE胶膜
CLS81927,新冠药物
CLS81928,止泻药
CLS81931,电子纸
CLS81932,网约车
CLS81933,成飞概念
CLS81934,ChatGPT
CLS81935,CPO
CLS81936,固态电池
CLS81937,数字水印
CLS81938,酿酒
CLS81939,毫米波雷达
CLS81940,智慧矿山
CLS81941,激光雷达
CLS81944,时空大数据
CLS81945,文心一言
CLS81946,四川国资
CLS81950,算力芯片
CLS81957,AI模型
CLS81958,MLOps
CLS81965,SAM模型
CLS81968,AI服务器
CLS81976,商用密码
CLS81978,液冷IDC
CLS82057,掌静脉识别
CLS82058,英伟达概念
CLS82059,MR混合现实
CLS82061,空间计算
CLS82062,AMD概念
CLS82063,算力租赁
CLS82064,人形机器人
CLS82065,交换机
CLS82406,有色金属概念
CLS82411,肿瘤治疗
CLS82417,减肥药
CLS82418,SPD概念
CLS82420,核污染防治
CLS82422,BC电池
CLS82423,华为星闪
CLS82424,5.5G
CLS82429,新型工业化
CLS82433,小米汽车
CLS82437,低空经济
CLS82438,纳米压印
CLS82446,短剧
CLS82447,智能座舱
CLS82450,HBM
CLS82453,可控核聚变
CLS82456,长安汽车概念
CLS82457,湖北国资
CLS82458,文生视频
CLS82459,多模态AI
CLS82460,河北国资
CLS82472,AIPC
CLS82474,PEEK材料
CLS82475,合成生物
CLS82477,冰雪产业
CLS82492,SRAM概念
CLS82493,制冷剂
CLS82494,AI手机
CLS82500,循环经济
CLS82502,高速连接器
CLS82505,AI医疗
CLS82506,Kimi概念
CLS82507,AI语料
CLS82508,财跃/阶跃大模型
CLS82511,通感一体化
CLS82517,商业航天
CLS82518,干细胞
CLS82519,细胞治疗
CLS82540,百度自动驾驶
CLS82542,统一大市场
CLS82543,无人车辆
CLS82545,AI眼镜
CLS82551,并购重组
CLS82552,化债概念
CLS82555,智谱AI
CLS82557,摩尔线程概念
CLS82558,AI智能体
CLS82560,豆包大模型
CLS82561,首发经济
CLS82566,消费精选
CLS82567,微信小店
CLS82570,小红书概念
CLS82571,DeepSeek概念
CLS82578,腾讯云
CLS82582,智元机器人
CLS82584,深海科技
CLS82586,离境退税
CLS82588,IP经济
CLS82591,超级水电
CLS82592,盾构机
CLS82596,深地经济
